Run,Variant,λ,MR,I→T R@1,I→T R@5,I→T R@10,T→I R@1,T→I R@5,T→I R@10,Wino(G),ARO(Attr),ARO(Rel),Time(min)
baseline,A,0.0,0.15,0.0,0.1,0.2,0.1,0.2,0.4,—,—,—,76
baseline_s43,A,0.0,0.15,0.0,0.1,0.2,0.0,0.2,0.3,—,—,—,79
baseline_s43_b128,A,0.0,0.15,0.0,0.1,0.2,0.0,0.2,0.4,—,54.3,50.6,76
variant_a,A,0.5,0.15,0.0,0.1,0.2,0.0,0.2,0.3,—,—,—,76
variant_b,B,0.5,0.15,0.0,0.1,0.2,0.0,0.1,0.2,—,—,—,76
